IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.93.108,4,4,0.00,163.86,1.05
104.17.127.90,4,4,0.00,162.08,0.90
104.17.126.39,4,4,0.00,162.62,0.78
104.17.125.231,4,4,0.00,164.46,0.75
104.17.123.109,4,4,0.00,164.64,0.48
104.17.108.206,4,4,0.00,160.78,0.47
104.17.122.10,4,4,0.00,164.98,0.43
104.19.50.123,4,4,0.00,160.94,0.11
104.19.63.116,4,4,0.00,161.01,0.09
104.19.59.22,4,4,0.00,164.86,0.08
