IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.25.252.18,4,4,0.00,70.10,1343.86
104.16.10.12,4,4,0.00,70.68,539.05
104.18.74.164,4,4,0.00,70.36,330.12
104.25.253.16,4,4,0.00,70.10,90.53
104.25.249.89,4,4,0.00,69.57,5.85
104.25.248.38,4,4,0.00,69.64,5.64
104.25.254.107,4,4,0.00,69.98,4.99
172.64.232.199,4,4,0.00,69.51,4.75
162.159.80.178,4,4,0.00,62.35,3.11
104.25.255.3,4,4,0.00,66.61,2.61
